league | aatrox | noun | 아트록스 | aatrox is a strong blind pick | 아트록스는 무난한 선픽이야
league | fatfinger | verb | 스펠실수하다 | i fatfingered my heal instead of ignite and he escaped with 10 hp | 점화 대신 힐 스펠실수해서 쟤 피 10 남고 도망갔어
league | fear | noun | 공포 | Nocturne fear is so broken. | 녹턴 공포 진짜 개사기네.
league | fear | noun | 공포 CC | Fiddlesticks AOE fear wiped us. | 피들스틱 광역 공포 CC 맞고 다 쓸렸어.
league | fear | noun | 공포 | I got feared. | 공포 걸렸어.
league | fear | noun | 공포 | Watch the fear timer. | 공포 타이밍 봐.
league | fear | verb | 공포시전하다 | fiddlesticks will fear the entire team | 피들스틱이 팀 전체에 공포시전할 거야
league | fear | verb | 공포사용하다 | nocturne fearing the support | 녹턴이 서폿한테 공포사용하네
league | feared | modifier | 공포당한 | the feared enemy ran away | 공포당한 적 도망갔어
league | feared | predicate | 공포당하다 | i got feared by the hecarim ult | 나 헤카림 궁극기에 공포당했어
league | fed | predicate | 잘 크다 | I got so fed early game | 게임 초반부터 너무 잘 컸어
league | fed | predicate | 잘 크다 | our ADC is completely fed | 우리 원딜은 완전 잘 컸어
league | fed | modifier | 잘 큰 | Don't fight the fed assassin | 잘 큰 암살자랑 싸우지 마.
league | fed | modifier | 잘 큰 | Don't fight the fed Xerath | 잘 큰 제라스랑 싸우지 마.
league | fed | modifier | 잘 큰 | Don't mess with this fed Vayne | 이렇게 잘 큰 베인이랑 싸워선 안돼
league | feed | verb | 데스기록하다 | stop feeding the enemy yasuo | 적 야스오 상대로 그만 데스기록해
league | feed | verb | 킬헌납하다 | feeding the hypercarry is a fast loss | 왕귀챔한테 킬헌납하면 겜 엄청 빨리 지지
league | feed | verb | 킬헌납하다 | stop feeding the yasuo | 야스오한테 킬헌납하지 마
league | feeder | noun | 맛집 | Our Yasuo is a massive feeder. | 우리 야스오 완전 맛집이네.
league | feeder | noun | 맛집 | Stop being a feeder. | 그만 맛집 돼.
league | feeder | noun | 맛집 | Their feeder is carrying us. | 쟤네 맛집 덕분에 편하다.
league | feeder | noun | 맛집 | He's the team feeder. | 쟤가 팀 맛집이야.
league | feeder | noun | 맛집 | Our Yasuo is a massive feeder. | 우리 야스오 완전 맛집이네.
league | feeder | noun | 맛집 | Stop being a feeder. | 그만 맛집 돼.
league | feeder | noun | 맛집 | Their feeder is carrying us. | 쟤네 맛집 덕분에 편하다.
league | feeder | noun | 맛집 | He's the team feeder. | 쟤가 팀 맛집이야.
league | feeder | noun | 똥싸개 | report this feeder | 이 똥싸개 리폿 좀
league | feeder | noun | 맛집 | our top laner is a certified feeder | 우리 탑 완전 공인된 맛집이네
league | ff | verb | 항복하다 | spamming ff after one death | 일 데스하고 계속 항복하네
league | ff | verb | 15서렌하다 | game is totally unplayable just ff 15 | 게임 완전 플레이불가니까 걍 15서렌해
league | ff | verb | 15서렌하다 | bot lane went 0/10 in 5 minutes just type ff and go next match | 바텀 5분 만에 0/10 데스 기록했어 걍 15서렌하고 다음 판 진행하자
league | ff15 | verb | 15서렌하다 | bot lane lost tier 1 at 8 mins just ff15 go next | 바텀 팔 분에 일 차 타워 파괴당했어 걍 15서렌하고 다음 게임하자
league | fiddlesticks | noun | 피들스틱 | fiddlesticks feared the entire enemy team | 피들스틱이 적 팀 전체에 공포 걸었어
league | fiddlesticks | noun | 피들 | a good fiddle ult from out of vision just ends the game | 시야 밖에서 피들 궁 대박 터지면 걍 겜 끝남
league | fifty fifty smite | noun | 반반 강타 | don't flip it, it's a 50/50 smite | 도박하지 마, 이거 반반 강타야
league | fifty fifty smite | noun | 반반 강타 | It ended up being a 50/50 smite. | 결국 반반 강타 싸움 됐어.
league | fifty fifty smite | noun | 반반 강타 | I hate 50/50 smite situations. | 난 반반 강타 상황 제일 싫어.
league | fifty fifty smite | noun | 반반 강타 | We have to pray for a 50/50 smite. | 기도하면서 반반 강타 싸움 가야 돼.
league | fiora | noun | 피오라 | fiora hit all four vitals to proc her ultimate | 피오라가 약점 네 개 다 터뜨리고 궁 터뜨렸어
league | fiora | noun | 피오라충 | this fiora refuses to group with the team | 이 피오라충 절대 팀이랑 합류 안 하네
league | first blood | noun | 퍼블 | our top gave first blood already | 우리 탑 벌써 퍼블 따였네
league | first blood | noun | 선취점 | securing first blood is a huge mental boost | 선취점 따는 게 멘탈에 엄청 좋아
league | first brick | noun | 포블 | push hard and get first brick | 빡세게 밀어서 포블 먹자
league | first brick | noun | 첫 포탑 골드 | getting first brick snowballs the game | 첫 포탑 골드 먹으면 겜 스노우볼 존나 굴러감
league | first strike | noun | 선제공격 | first strike grants bonus gold based on damage dealt | 선제공격은 넣은 딜량 비례해서 추가 골드를 줘
league | first strike | noun | 선공 | first strike giving me a free item | 선공 뜯어서 꽁짜 템 하나 뽑았네
league | first strike | noun | 선공 | he's just farming first strike gold | 쟤 걍 선공 골드나 뜯고 있네
league | first strike | noun | 선제공격 | printing money with first strike | 선제공격으로 아주 돈 복사를 하네
league | first time | verb | 처음하다 | why are you first timing yasuo in ranked | 너 왜 랭크에서 야스오 처음해
league | fizz | noun | 피즈 | fizz dodged the skillshot with his pole | 피즈가 재간둥이로 스킬 피했어
league | fizz | noun | 생선 | untargetable fizz dodging everything is bs | 저 생선새끼 타겟팅 불가로 다 피하는 거 개억까임
league | flame | noun | 패드립 | Just mute his flame and play. | 그냥 쟤 패드립 차단하고 겜해.
league | flame | noun | 패드립 | Ignore the flame. | 패드립 무시해.
league | flame | noun | 패드립 | The flame started already. | 벌써 패드립 시작이네.
league | flame | noun | 패드립 | Mute the flame and focus. | 패드립 차단하고 집중해.
league | flame | noun | 패드립 | Just mute his flame and play. | 그냥 쟤 패드립 차단하고 겜해.
league | flame | noun | 패드립 | Ignore the flame. | 패드립 무시해.
league | flame | noun | 패드립 | The flame started already. | 벌써 패드립 시작이네.
league | flame | noun | 패드립 | Mute the flame and focus. | 패드립 차단하고 집중해.
league | flame | verb | 정치하다 | stop flaming the support | 서폿한테 정치하지 마
league | flame | verb | 정치하다 | mute all and stop flaming | 올차단하고 정치하지 마
league | flame horizon | verb | (씨에스를) 압도하다 | chovy just flame horizoned the enemy mid | 쵸비가 방금 적 미드 상대로 씨에스압도했어
league | flame your team | verb | 정치하다 | stop flaming your team in all chat it makes you look stupid | 전체 채팅으로 아군 정치하지 마 그거 엄청 멍청하게 보여
league | flamer | noun | 입터는 놈 | just mute the flamer and play | 그냥 저 입터는 놈 차단하고 해
league | flamer | noun | 패드립퍼 | don't argue with a toxic flamer | 저 톡식한 패드립퍼랑 말싸움 하지 마
league | flaming | verb | 남탓하다 | blaming the jungler and flaming | 정글 탓하면서 계속 남탓하네
league | flank | noun | 뒤잡기 | watch out for the kennen flank | 케넨 뒤잡기 조심해
league | flank | noun | 뒷각 | looking for a tp angle for a massive flank | 대박 뒷각 보려고 텔 타는 각 보는 중
league | flank | verb | 후방진입하다 | amumu needs to flank from the jungle to land a good ult | 아무무는 궁극기 대박 달성하려면 정글에서 후방진입해야 돼
league | flank | verb | 우회하다 | flanking them with a teleport | 텔레포트 사용해서 쟤네 우회해
league | flank | verb | 후방진입하다 | flank them from over the wall while we push mid lane | 우리 미드 푸시할 동안 벽 너머로 쟤네 후방진입해
league | flank angle | noun | 뒷각 | Look for a flank angle before the fight starts. | 한타 시작하기 전에 뒷각 좀 봐봐.
league | flank angle | noun | 뒷각 | Kennen has an insane flank angle right now. | 지금 케넨 뒷각 진짜 미쳤어.
league | flank angle | noun | 뒷각 | Wait, we have no flank angle here. | 잠깐만, 우리 여기 뒷각이 아예 없는데.
league | flank angle | noun | 뒷각 | I found a flank angle. | 뒷각 찾았다.
league | flank ward | noun | 뒷텔 와드 | Put a flank ward in that bush. | 저 부쉬에 뒷텔 와드 박아.
league | flank ward | noun | 뒷텔 와드 | We need a flank ward here. | 여기 뒷텔 와드 필요해.
league | flank ward | noun | 뒷텔 와드 | Nice flank ward for top. | 탑 뒷텔 와드 좋다.
league | flank ward | noun | 뒷텔 와드 | Their flank ward is still up. | 쟤네 뒷텔 와드 아직 살아있어.
league | flanking | modifier | 후방진입하는 | ward for the flanking kennen | 후방진입하는 케넨 대비해서 와딩해
league | flanking | predicate | 후방진입하다 | tp behind them and start flanking | 쟤네 뒤로 텔사용하고 후방진입해
league | flash | noun | 점멸 | he wasted his flash trying to escape | 쟤 도망치려다 점멸 날렸어
league | flash | noun | 플 | flashing over the wall and missing | 벽 넘어로 플 썼는데 뻘플 됨
league | flash | noun | 점멸 | that was a terrible flash | 방금 점멸 진짜 최악이었어
league | flash | noun | 뻘플 | burning a terrible flash to escape | 도망치려고 뻘플 썼네
league | flash | verb | 플래시사용하다 | flash over the wall and steal the baron right now | 지금 당장 벽 넘어 플래시사용해서 바론 스틸해
league | flash | verb | 점멸사용하다 | he didn't flash the malphite ult so he died instantly | 쟤 말파이트 궁극기에 점멸사용하지 않아서 즉사했어
league | flash | verb | 점멸사용하다 | flash over the wall right now to catch their carry | 쟤네 캐리 처치하게 지금 당장 벽 넘어 점멸사용해
league | flashless | modifier | 노플인 | gank the flashless syndra | 노플인 신드라 갱킹해
league | flashless | predicate | 노플상태되다 | adc is flashless for five minutes | 원딜 5분 동안 노플상태됐어
league | flat armor | noun | 방관 | You need flat armor for the jungle. | 정글 돌려면 방관 필요해.
league | flat armor | noun | 방관 | Build some flat armor. | 방관 좀 올려봐.
league | flat armor | noun | 방관 | Flat armor is OP on him. | 쟤한테는 방관이 사기야.
league | flat armor | noun | 방관 | Stack flat armor for damage. | 데미지 위해 방관 쌓아.
league | flat damage | noun | 깡딜 | Her flat damage is ridiculous right now. | 쟤 지금 깡딜 미쳤어.
league | flat damage | noun | 깡딜 | That's pure flat damage. | 그냥 깡딜이네.
league | flat damage | noun | 깡딜 | Her flat damage is carrying. | 깡딜로 다 잡네.
league | flat damage | noun | 깡딜 | Flat damage wins early fights. | 초반엔 깡딜이 세지.
league | flat pen | noun | 마관 | Flat pen just melts them down. | 마관 올리면 그냥 다 녹여버려.
league | flat pen | noun | 마관 | I need more flat pen. | 나 마관 더 필요해.
league | flat pen | noun | 마관 | Why no flat pen build? | 왜 마관 빌드 안 타?
league | flat pen | noun | 마관 | Flat pen makes them disappear. | 마관 있으면 쟤네 그냥 사라져.
league | fleet | noun | 기발 | taking fleet just to survive the poke | 포킹 버티려고 꾸역꾸역 기발 들었음
league | fleet | noun | 기민한 발놀림 | running fleet just to survive the poke | 포킹 버티려고 꾸역꾸역 기민한 발놀림 듦
league | fleet footwork | noun | 기민한 발놀림 | fleet footwork provides sustain in a hard lane | 기민한 발놀림은 빡센 라인전에서 유지력을 줘
league | fleet footwork | noun | 기발 | fleet footwork gives him too much sustain | 기발 때문에 쟤 유지력 너무 쩔어
league | flex | noun | 돌려쓰기 | gragas flex ruins their entire draft | 그라가스 돌려쓰기로 쟤네 밴픽 다 망가뜨림
league | flex pick | noun | 스왑 픽 | karma is a good flex pick | 카르마는 좋은 스왑 픽이야
league | flex pick | noun | 돌려쓰기 픽 | flexing gragas to top or jungle is annoying to draft against | 그라가스 탑 정글 돌려쓰기 픽 나오면 밴픽하기 개짜증남
league | flex pick | noun | 스왑픽 | jayce is a great flex pick | 제이스는 진짜 좋은 스왑픽이야
league | flex pick | verb | 스왑픽하다 | we can flex pick jayce to top or mid | 우리 제이스 탑이나 미드로 스왑픽할 수 있어
league | flex queue | verb | 자랭하다 | let's flex queue tonight and try hard | 오늘 밤에 자랭하고 빡겜하자
league | flip | verb | 바론도박하다 | we are behind so our only win con is to flip baron right now | 우리 불리해서 지금 유일한 승리 플랜은 바론도박하는 거야
league | flip | verb | 오브젝트도박하다 | don't flip the elder dragon we have the map control just play slow | 우리 맵 장악했으니까 장로 용에서 오브젝트도박하지 말고 천천히 해
league | flipped baron | noun | 바론 도박 | we have to go for a flipped baron now | 지금 바론 도박 걸어야 돼
league | flipped baron | noun | 바론 도박 | We have to go for a flipped baron now. | 지금 바론 도박 걸어야 돼.
league | flipped baron | noun | 바론 도박 | Why risk a flipped baron? | 왜 바론 도박 리스크를 져?
league | flipped baron | noun | 바론 도박 | Flipped baron was a bad call. | 바론 도박은 안 좋은 판단이었어.
league | flipped baron | noun | 바론 도박 | Don't go for a flipped baron. | 바론 도박 하지 마.
league | focus | verb | 점사하다 | stop focusing the tank and hit their carry | 탱커 점사하지 말고 쟤네 캐리 타격해
league | fog | noun | 전장의 안개 | he hooked me from the fog | 쟤 전장의 안개 속에서 그랩 날렸어
league | fog | noun | 시야 밖 안개 | walking into fog blindly is an int | 시야도 없는데 안개 속으로 들어가는 건 던지는 거지
league | fog | noun | 시야 밖 | getting hooked from the fog is terrifying | 시야 밖에서 그랩 날아오는 거 개무서움
league | fog of war | noun | 전장의 안개 | the enemy team disappeared into the fog of war | 적 팀이 전장의 안개 속으로 사라졌어
league | fog steal | noun | 시야 밖 스틸 | bro pulled off a fog steal out of nowhere | 쟤 갑자기 시야 밖 스틸 해버렸어
league | fog steal | noun | 시야 밖 스틸 | Bro pulled off a fog steal out of nowhere. | 쟤 갑자기 시야 밖 스틸 해버렸어.
league | fog steal | noun | 시야 밖 스틸 | I just got a sick fog steal. | 나 방금 시야 밖 스틸 제대로 먹였어.
league | fog steal | noun | 시야 밖 스틸 | Never seen such a clean fog steal. | 그렇게 깔끔한 시야 밖 스틸은 처음 봐.
league | fog steal | noun | 시야 밖 스틸 | Try to land a fog steal. | 시야 밖 스틸 한번 노려봐.
league | font of life | noun | 생명의 샘 | font of life heals allies who attack impaired champions | 생명의 샘은 이동 방해 걸린 챔피언 치는 아군 피를 채워줘
league | font of life | noun | 생샘 | getting carried by the font of life healing | 생샘 힐량 달달하게 빨면서 버스 타는 중
league | force | verb | 억지한타하다 | we have baron buff, we can just force a fight under their tier 3 | 우리 바론 버프 있으니까 쟤네 3차 타워 밑에서 걍 억지한타할 수 있어
league | force a fight | verb | 한타강제하다 | force a fight at herald | 전령에서 한타강제해
league | fountain | noun | 우물 | He's just AFK in the fountain typing. | 쟤 우물에서 잠수 타면서 타자만 치네.
league | fountain | noun | 본진 우물 | I almost died inside our fountain. | 나 우리 본진 우물 안에서 죽을 뻔했어.
league | fountain | noun | 우물 | Just reset in fountain. | 우물에서 정비해.
league | fountain | noun | 우물 | Meet at fountain. | 우물에서 모여.
league | fountain | noun | 우물 | they are fountain diving us | 쟤네 우리 우물 다이브 치네
league | fountain | noun | 본진 우물 | stuck in fountain cause of super minions | 슈퍼 미니언 때문에 본진 우물에 갇혔어
league | fountain | noun | 우물 | recall to the fountain to buy items and heal | 우물로 귀환해서 템 사고 피 채워
league | fountain | noun | 우물 | getting laser beamed in the fountain | 우물 레이저 맞고 지져지는 중
league | fountain | verb | 우물잠수하다 | our tilted mid laner decided to afk in fountain | 우리 멘탈 나간 미드 걍 우물잠수하기로 결정했어
league | frame drop | noun | 렉 걸림 | I get frame drops in every fight. | 한타할 때마다 렉 걸림 오지네.
league | frame drop | noun | 렉 걸림 | Huge frame drop there. | 방금 렉 걸림 심했다.
league | frame drop | noun | 렉 걸림 | Frame drops ruined the fight. | 렉 걸림 때문에 한타 망했다.
league | frame drop | noun | 렉 걸림 | I'm getting frame drops again. | 또 렉 걸린다.
league | free | modifier | 공짜인 | getting baron here is a completely free objective | 여기서 바론 먹는 건 완벽하게 공짜인 옵젝이야
league | free baron | noun | 꽁바론 | their jungler is dead, that's a free baron | 상대 정글 죽었어, 이거 꽁바론이야
league | free baron | noun | 꽁바론 | Their jungler is dead, that's a free baron. | 상대 정글 죽었어, 이거 꽁바론이야.
league | free baron | noun | 꽁바론 | We need to rush this free baron. | 이 꽁바론 빨리 먹어야 해.
league | free baron | noun | 꽁바론 | It's a free baron, do it. | 꽁바론이니까 바로 쳐.
league | free baron | noun | 꽁바론 | Everyone rotate for the free baron. | 다들 꽁바론 먹게 모여.
league | free boots | noun | 꽁짜 신발 | i literally can't buy boots i have the rune | 나 룬 들어서 돈 있어도 신발 못 사
league | free boots | noun | 꽁짜 신발 | free boots rune is so good for economy | 꽁짜 신발 룬 가성비 진짜 개사기지
league | free drake | noun | 날먹 용 | we can get a free drake here, come fast | 여기서 날먹 용 먹을 수 있어, 빨리 와
league | free drake | noun | 날먹 용 | We can get a free drake here, come fast. | 여기서 날먹 용 먹을 수 있어, 빨리 와.
league | free drake | noun | 날먹 용 | That's a free drake, go bot. | 저거 날먹 용이야, 바텀 가.
league | free drake | noun | 날먹 용 | Don't throw this free drake. | 이 날먹 용 놓치지 마.
league | free drake | noun | 날먹 용 | Any free drake is a win. | 날먹 용은 무조건 먹어야지.
league | freeze | noun | 라인 프리징 | I'm holding a freeze top lane. | 나 탑 라인 프리징 하고 있어.
league | freeze | noun | 라인 프리징 | Keep the freeze. | 프리징 유지해.
league | freeze | noun | 라인 프리징 | Break the freeze. | 프리징 깨.
league | freeze | noun | 라인 프리징 | Nice freeze. | 프리징 좋네.
league | freeze | noun | 라인 프리징 | I'm holding a freeze top lane. | 나 탑 라인 프리징 하고 있어.
league | freeze | noun | 라인 프리징 | Keep the freeze. | 프리징 유지해.
league | freeze | noun | 라인 프리징 | Break the freeze. | 프리징 깨.
league | freeze | noun | 라인 프리징 | Nice freeze. | 프리징 좋네.
league | freeze | noun | 라인 프리징 | you should freeze the minion wave near your tower | 미니언 웨이브를 네 타워 근처에서 프리징해야 돼
league | freeze | noun | 프리징 | breaking the freeze with my jungler | 정글 불러서 프리징 걸린 라인 푸는 중
league | freeze | verb | 프리징하다 | i'm gonna freeze the wave here | 나 여기서 웨이브 프리징할 거야
league | freeze | verb | 라인유지하다 | freezing the wave to deny him gold | 쟤 골드 못 먹게 라인유지하는 중이야
league | freeze | verb | 프리징하다 | just freeze the wave near our tower | 걍 우리 타워 근처에서 웨이브 프리징해
league | freeze | verb | 프리징하다 | i am going to freeze the wave near my tower to deny his melee farm | 나 근접 챔피언 파밍 디나이하게 내 타워 근처에서 웨이브 프리징할 거야
league | freeze heart | noun | 얼심 | Frozen Heart slows down the enemy. | 얼심 가면 적들 느려져.
league | freeze heart | noun | 얼어붙은 심장 | Building Frozen Heart is a must here. | 여기선 무조건 얼어붙은 심장 가야 돼.
league | freeze heart | noun | 얼심 | Just buy Frozen Heart. | 그냥 얼심 가.
league | freeze heart | noun | 얼심 | He rushed Frozen Heart. | 쟤 얼심 선으로 갔네.
league | freeze out | verb | 디나이하다 | i'm going to freeze the wave here and freeze out this melee champion | 나 여기서 웨이브 프리징하고 저 근접 챔피언 디나이할 거야
league | fresh account | noun | 생배 계정 | He's playing on a fresh account. | 쟤 생배 계정으로 겜하네.
league | fresh account | noun | 생배 계정 | This looks like a fresh account. | 생배 계정 같은데.
league | fresh account | noun | 생배 계정 | Fresh account energy. | 생배 냄새 난다.
league | fresh account | noun | 생배 계정 | Definitely a fresh account. | 무조건 생배 계정이다.
league | fresh account | noun | 생배 계정 | This smurf is on a fresh account. | 이 부캐충 생배 계정 쓰네.
league | fresh account | noun | 생배 계정 | That's a fresh account for sure. | 저거 생배 계정 확정이다.
league | fresh account | noun | 생배 계정 | Fresh account vibes. | 생배 냄새 나는데.
league | fresh account | noun | 생배 계정 | He's stomping on a fresh account. | 생배 계정으로 양학하네.
league | front-to-back | verb | 앞라인부터처리하다 | we must front-to-back in teamfights | 우리 한타할 때 무조건 앞라인부터처리해야 돼
league | frontline | noun | 앞라인 | our frontline melts too fast | 우리 앞라인 너무 빨리 녹아
league | frontline | noun | 탱커진 | playing adc with zero frontline is torture | 탱커진 하나도 없는데 원딜 하는 건 고문이지
league | frontline | noun | 앞라인 | our frontline melts in one second | 우리 앞라인 1초 만에 녹아버리네
league | frontline | noun | 탱커진 | trying to play adc with zero frontline is awful | 탱커진 하나도 없는데 원딜 하는 거 진짜 개같음
league | frontline | verb | 탱킹하다 | nobody can frontline for our adc | 아무도 우리 원딜 위해 탱킹불가해
league | frontline | verb | 앞라인포지션하다 | our teemo top cannot frontline at all | 우리 티모 탑은 앞라인포지션하는 게 아예 불가능해
league | full ad | noun | 올AD | we drafted a full ad comp | 우리 올AD 조합 뽑았어
league | full ad | noun | 올물뎀 | full ad into a rammus is a free loss | 람머스 상대로 올물뎀 가는 건 걍 공짜 패배지
league | full clear | verb | 풀캠하다 | graves is just going to full clear and ignore the lanes until level 6 | 그레이브즈는 육 렙 전까지 라인 무시하고 걍 풀캠할 거야
league | full clear | verb | 동선정리하다 | if you full clear on nidalee you can get scuttle crab at exactly 3:30 | 니달리로 동선정리하면 정확히 삼 분 삼십 초에 바위게 처치가능해
league | full mute | verb | 올차단하다 | just full mute and play your own game | 걍 올차단하고 네 게임 플레이해
league | full mute | verb | 전체차단하다 | i full muted everyone in champion select | 나 챔피언 선택 창에서 모두 전체차단했어
league | full sprint mid | verb | 미드질주하다 | he bought mobi boots and went full sprint mid into the enemy team | 쟤 기동신 구매하고 적 팀한테 미드질주했어
league | funnel | noun | 몰아주기 | they are running a funnel comp | 쟤네 몰아주기 조합 하네
league | funnel | noun | 마타 조합 | funneling the master yi is so toxic | 마이 마타 조합 하는 거 진짜 개역겹다
league | funnel | verb | 몰아주기하다 | they are funneling all the gold to master yi | 쟤네 마스터 이한테 모든 골드 몰아주기하네
league | funnel | verb | 몰아주기하다 | they are funneling every single jungle camp into master yi | 쟤네 모든 정글 캠프 마스터 이한테 몰아주기하네
league | future's market | noun | 외상 | future's market allows you to buy items in debt | 외상을 들면 빚내서 템을 살 수 있어
league | future's market | noun | 외상 | future's market is so good | 외상 룬 진짜 개좋음
league | futures market | noun | 외상 | going into debt with futures market just for a long sword | 롱소드 하나 사려고 외상 땡겨 쓰네
league | ga | noun | 가엔 | the adc has ga, be careful | 원딜 가엔 있으니까 조심해
league | ga | noun | 수호 천사 | popping ga before the fight is terrible | 한타 시작도 전에 수호 천사 빠지는 건 최악이야
league | ga | noun | 수호 천사 | adc needs ga to survive the burst | 폭딜 버티려면 원딜 수호 천사 가야 돼
league | ga | noun | 가엔 | popping ga before objective is a massive throw | 옵젝 전에 가엔 빠지는 건 뇌절이지
league | ga | noun | 가엔 | popping ga before the drake fight is a throw | 용 한타 전에 가엔 빠지는 건 뇌절이지
league | galio | noun | 갈리오 | galio used hero's entrance to save his ad carry | 갈리오가 영웅출현 써서 원딜 살렸어
league | galio | noun | 석상 | ap galio landing a massive ult on five | AP 석상이 5명한테 궁 대박 꽂아버리네
league | game point | noun | 막판 | Alright focus up, game point right here. | 자 집중해, 이번이 막판이야.
league | game point | noun | 막판 | This is game point. | 이번이 막판이다.
league | game point | noun | 막판 | Win this and we're done. | 이기면 끝이야.
league | game point | noun | 막판 | Don't throw on game point. | 막판에 던지지 마.
league | game-ending throw | noun | 겜 터진 대형사고 | That baron call was a game-ending throw. | 방금 바론 오더는 진짜 겜 터진 대형사고야.
league | game-ending throw | noun | 겜 터진 대형사고 | Don't make a game-ending throw. | 겜 터진 대형사고 내지 마.
league | game-ending throw | noun | 겜 터진 대형사고 | That was a total game-ending throw. | 진짜 겜 터진 대형사고였어.
league | game-ending throw | noun | 겜 터진 대형사고 | Avoid a game-ending throw. | 겜 터진 대형사고만 피하자.
league | gangplank | noun | 갱플랭크 | gangplank connected his powder kegs perfectly | 갱플랭크가 화약통 완벽하게 이었어
league | gangplank | noun | 갱플 | one part gangplank combo just deleted our mid | 갱플 1페이즈 화약통 콤보에 우리 미드 삭제됨
league | gank | noun | 갱 | I need a gank top, I'm dying. | 탑 갱 좀 와줘, 나 죽어.
league | gank | noun | 갱 | Easy gank top. | 탑 갱 각이다.
league | gank | noun | 갱 | Save your flash for the gank. | 갱 대비해서 점멸 아껴.
league | gank | noun | 갱 | That gank was clean. | 갱 깔끔했다.
league | gank | noun | 갱 | I need a gank top, I'm dying. | 탑 갱 좀 와줘, 나 죽어.
league | gank | noun | 갱 | Easy gank top. | 탑 갱 각이다.
league | gank | noun | 갱 | Save your flash for the gank. | 갱 대비해서 점멸 아껴.
league | gank | noun | 갱 | That gank was clean. | 갱 깔끔했다.
league | gank | noun | 갱킹 | we need a gank bot lane | 우리 바텀 갱킹 필요해
league | gank | noun | 갱 | expecting a gank while shoved under their tower | 상대 타워 쳐박아놓고 갱 오길 바라네
league | gank | verb | 갱킹하다 | jg pls gank top right now | 정글 제발 당장 탑 갱킹해
league | gank | verb | 갱지원하다 | i am ganking mid after this camp | 나 이 캠프 먹고 미드 갱지원해
league | gank | verb | 갱킹하다 | jg pls gank top rn | 정글 제발 지금 당장 탑 갱킹해
league | gank setup | noun | 갱호응 | maokai has the best gank setup in the game with his point-and-click cc | 마오카이는 타겟팅 씨씨기 보유해서 겜 내 최고 갱호응 자랑해
league | gap | verb | 차이발생하다 | getting gaped by a first time yasuo | 처음 플레이하는 야스오한테 차이발생하네
league | gap | verb | 서열정리하다 | i gapped their top but bot went 0/10 | 나 상대 탑 서열정리했는데 바텀이 10데스했어
league | gap closer | noun | 돌진기 | he has no gap closer, just kite | 쟤 돌진기 없으니까 걍 카이팅해
league | gaped | verb | 패배하다 | mid lane is gaped so hard we have zero map control | 미드 라인 너무 심하게 패배해서 맵 주도권이 아예 부재해
league | gapped | predicate | 서열정리당하다 | their mid is a smurf, our mid got gapped from level 1 | 쟤네 미드 부캐라서 우리 미드 1렙부터 서열정리당했어
league | gapped | predicate | 기량압살당하다 | we got gapped in the draft and then got gapped in the game | 우리 밴픽 기량압살당하고 인게임에서도 기량압살당했어
league | gapped | predicate | 압살당하다 | our mid got completely gapped go next | 우리 미드 완벽하게 압살당했어 다음 게임 가자
league | garen | noun | 가렌 | garen is spinning in the minion wave | 가렌이 미니언 웨이브에서 돌고 있어
league | garen | noun | 믹서기 | bush garen pressing q e r takes zero skill | 부쉬 믹서기 Q E R 누르는 건 뇌가 필요 없지
league | gaslight | verb | 가스라이팅하다 | don't gaslight me into thinking that was my fault you missed your pull | 네가 그랩 실패한 거 내 잘못이라고 나 가스라이팅하지 마
league | gatekeep | verb | 수문장하다 | i'm going to gatekeep you from hitting emerald because you flamed me last game | 너 저번 판에 나한테 정치해서 나 너 에메랄드 승급 방해하게 수문장할 거야
league | gatekeep | verb | 티어주차하다 | he is just gatekeeping the d4 rank with a 49% winrate and 2000 games | 쟤 승률 49퍼센트에 2000판으로 다이아 4 티어주차하네
league | gathering | noun | 폭결 | playing for forty minutes to use gathering storm | 폭결 스탯 받으려고 40분까지 눕는 중
league | gathering storm | noun | 폭풍의 결집 | gathering storm ensures scaling into the late game | 폭풍의 결집은 후반 왕귀를 보장해줘
league | generate tempo | verb | 턴확보하다 | hard shove the wave to generate tempo for a deep vision setup | 깊은 시야 작업하려고 웨이브 빡푸시하고 턴확보해
league | get carried | predicate | 캐리당하다 | i went 0/5 but my team was smurfing so i got carried | 나 0/5 데스했는데 팀이 양학해서 나 완벽하게 캐리당했어
league | get picked | predicate | 기습당하다 | don't get picked before baron | 바론 전에 기습당하지 마
league | gg | verb | 항복선언하다 | our nexus is exploding just type gg and report the jungler | 우리 넥서스 폭발하니까 걍 항복선언하고 정글 리폿해
league | ghost | noun | 유체화 | ghost gives ramping movement speed to chase down enemies | 유체화는 적들 쫓아가게 점점 빨라지는 이속을 줘
league | ghost | noun | 유체화 | popping ghost and running them down | 유체화 켜고 대가리 찍으러 달려가는 중
league | ghost | verb | 방플하다 | this guy is definitely ghosting | 얘 무조건 방플하고 있어
league | ghost | verb | 방플하다 | he is ghosting my stream to clear all my wards in real time | 쟤 내 와드 실시간으로 지우려고 내 방송 방플하고 있어
league | ghost | verb | 유체화사용하다 | huni ghosted down the lane and chased him all the way to tier 2 | 후니 라인에서 유체화사용하고 2차 타워까지 추격했어
league | ghost poro | noun | 유령 포로 | ghost poro provides backup vision in an empty brush | 유령 포로는 빈 부쉬에 시야를 제공해줘
